Título,Autores,Precio,Disponibilidad,Rating,Categoría,Stock,URL
Eight Hundred Grapes,['Laura Dave'],Â£14.39,In stock,Four,Fiction,In stock (14 available),https://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html
Dear Mr. Knightley,['Katherine Reay'],Â£11.21,In stock,Five,Fiction,In stock (14 available),https://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html
Cometh the Hour (The Clifton Chronicles #6),['Jeffrey Archer'],Â£25.01,In stock,Three,Fiction,In stock (14 available),https://books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html
Balloon Animals,[],Â£17.03,In stock,Three,Fiction,In stock (14 available),https://books.toscrape.com/catalogue/balloon-animals_665/index.html
A Man Called Ove,['Fredrik Backman'],Â£39.72,In stock,One,Fiction,In stock (14 available),https://books.toscrape.com/catalogue/a-man-called-ove_653/index.html
The Silent Sister (Riley MacPherson #1),['Diane Chamberlain'],Â£46.29,In stock,Five,Fiction,In stock (12 available),https://books.toscrape.com/catalogue/the-silent-sister-riley-macpherson-1_641/index.html
The Dinner Party,['Judy Chicago'],Â£56.54,In stock,Two,Fiction,In stock (12 available),https://books.toscrape.com/catalogue/the-dinner-party_635/index.html
The Improbability of Love,['Hannah Rothschild'],Â£59.45,In stock,One,Fiction,In stock (11 available),https://books.toscrape.com/catalogue/the-improbability-of-love_607/index.html
Mothering Sunday,['Constance Penswick Smith'],Â£13.34,In stock,Two,Fiction,In stock (11 available),https://books.toscrape.com/catalogue/mothering-sunday_600/index.html
Lies and Other Acts of Love,['Kristy Woodson Harvey'],Â£45.14,In stock,One,Fiction,In stock (11 available),https://books.toscrape.com/catalogue/lies-and-other-acts-of-love_596/index.html
Daredevils,['Bill Condon'],Â£16.34,In stock,Three,Fiction,In stock (11 available),https://books.toscrape.com/catalogue/daredevils_590/index.html
11/22/63,['Stephen King'],Â£48.48,In stock,Three,Fiction,In stock (11 available),https://books.toscrape.com/catalogue/112263_583/index.html
The Shack,['William P. Young'],Â£28.03,In stock,One,Fiction,In stock (9 available),https://books.toscrape.com/catalogue/the-shack_576/index.html
The High Mountains of Portugal,['Yann Martel'],Â£51.15,In stock,One,Fiction,In stock (8 available),https://books.toscrape.com/catalogue/the-high-mountains-of-portugal_547/index.html
Miller's Valley,['Instaread'],Â£58.54,In stock,Two,Fiction,In stock (8 available),https://books.toscrape.com/catalogue/millers-valley_534/index.html
Hystopia: A Novel,['David Means'],Â£21.96,In stock,Four,Fiction,In stock (8 available),https://books.toscrape.com/catalogue/hystopia-a-novel_523/index.html
The Bourne Identity (Jason Bourne #1),['Robert Ludlum'],Â£42.78,In stock,Four,Fiction,In stock (7 available),https://books.toscrape.com/catalogue/the-bourne-identity-jason-bourne-1_492/index.html
Sister Dear,['Lauren Rebecca Gay'],Â£40.20,In stock,Four,Fiction,In stock (7 available),https://books.toscrape.com/catalogue/sister-dear_485/index.html
Memoirs of a Geisha,['Arthur Golden'],Â£49.67,In stock,Three,Fiction,In stock (7 available),https://books.toscrape.com/catalogue/memoirs-of-a-geisha_477/index.html
Me Before You (Me Before You #1),['Jojo Moyes'],Â£19.02,In stock,One,Fiction,In stock (6 available),https://books.toscrape.com/catalogue/me-before-you-me-before-you-1_434/index.html
Deception Point,['Dan Brown'],Â£40.32,In stock,Four,Fiction,In stock (6 available),https://books.toscrape.com/catalogue/deception-point_426/index.html
The Little Paris Bookshop,['Nina George'],Â£24.73,In stock,Three,Fiction,In stock (5 available),https://books.toscrape.com/catalogue/the-little-paris-bookshop_407/index.html
The Firm,['John Grisham'],Â£45.56,In stock,Three,Fiction,In stock (5 available),https://books.toscrape.com/catalogue/the-firm_404/index.html
The Expatriates,['Janice Y. K. Lee'],Â£44.58,In stock,Two,Fiction,In stock (5 available),https://books.toscrape.com/catalogue/the-expatriates_401/index.html
Siddhartha,['Hermann Hesse'],Â£34.22,In stock,Five,Fiction,In stock (5 available),https://books.toscrape.com/catalogue/siddhartha_393/index.html
Last One Home (New Beginnings #1),['Christopher Golden'],Â£59.98,In stock,Three,Fiction,In stock (5 available),https://books.toscrape.com/catalogue/last-one-home-new-beginnings-1_383/index.html
Digital Fortress,['DAN BROWN'],Â£58.00,In stock,Five,Fiction,In stock (5 available),https://books.toscrape.com/catalogue/digital-fortress_369/index.html
Atlas Shrugged,['Ayn Rand'],Â£26.58,In stock,Five,Fiction,In stock (4 available),https://books.toscrape.com/catalogue/atlas-shrugged_314/index.html
Three-Martini Lunch,['Suzanne Rindell'],Â£23.21,In stock,Three,Fiction,In stock (3 available),https://books.toscrape.com/catalogue/three-martini-lunch_290/index.html
The Nightingale,['Hans Christian Andersen'],Â£26.26,In stock,Four,Fiction,In stock (3 available),https://books.toscrape.com/catalogue/the-nightingale_267/index.html
The Infinities,['John Banville'],Â£27.41,In stock,One,Fiction,In stock (3 available),https://books.toscrape.com/catalogue/the-infinities_257/index.html
The Husband's Secret,['Liane Moriarty'],Â£52.51,In stock,Five,Fiction,In stock (3 available),https://books.toscrape.com/catalogue/the-husbands-secret_256/index.html
The Da Vinci Code (Robert Langdon #2),['Dan Brown'],Â£22.96,In stock,Two,Fiction,In stock (3 available),https://books.toscrape.com/catalogue/the-da-vinci-code-robert-langdon-2_240/index.html
The Art of Fielding,['Chad Harbach'],Â£22.10,In stock,One,Fiction,In stock (3 available),https://books.toscrape.com/catalogue/the-art-of-fielding_228/index.html
Lila (Gilead #3),['Marilynne Robinson'],Â£12.47,In stock,Three,Fiction,In stock (3 available),https://books.toscrape.com/catalogue/lila-gilead-3_190/index.html
Jurassic Park (Jurassic Park #1),['Matthew Melia'],Â£44.97,In stock,One,Fiction,In stock (3 available),https://books.toscrape.com/catalogue/jurassic-park-jurassic-park-1_180/index.html
Inferno (Robert Langdon #4),['Dan Brown'],Â£41.00,In stock,Five,Fiction,In stock (3 available),https://books.toscrape.com/catalogue/inferno-robert-langdon-4_176/index.html
Crazy Rich Asians (Crazy Rich Asians #1),['Kevin Kwan'],Â£49.13,In stock,Five,Fiction,In stock (3 available),https://books.toscrape.com/catalogue/crazy-rich-asians-crazy-rich-asians-1_143/index.html
Big Little Lies,['Liane Moriarty'],Â£22.11,In stock,One,Fiction,In stock (3 available),https://books.toscrape.com/catalogue/big-little-lies_129/index.html
The Course of Love,['Alain de Botton'],Â£16.78,In stock,Three,Fiction,In stock (2 available),https://books.toscrape.com/catalogue/the-course-of-love_109/index.html
When I'm Gone,['Beatriz Dujovne'],Â£51.96,In stock,Three,Fiction,In stock (1 available),https://books.toscrape.com/catalogue/when-im-gone_95/index.html
The Silent Wife,['A. S. A. Harrison'],Â£12.34,In stock,Five,Fiction,In stock (1 available),https://books.toscrape.com/catalogue/the-silent-wife_83/index.html
The Bette Davis Club,['Jane Lotter'],Â£30.66,In stock,Three,Fiction,In stock (1 available),https://books.toscrape.com/catalogue/the-bette-davis-club_59/index.html
Kitchens of the Great Midwest,['J. Ryan Stradal'],Â£57.20,In stock,Five,Fiction,In stock (1 available),https://books.toscrape.com/catalogue/kitchens-of-the-great-midwest_28/index.html
Bright Lines,['Tanwi Nandini Islam'],Â£39.07,In stock,Five,Fiction,In stock (1 available),https://books.toscrape.com/catalogue/bright-lines_11/index.html
Birdsong: A Story in Pictures,['Hollis Taylor'],Â£54.64,In stock,Three,Childrens,In stock (19 available),https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
The Bear and the Piano,['David Litchfield'],Â£36.89,In stock,One,Childrens,In stock (18 available),https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
The Secret of Dreadwillow Carse,['Brian Farrey'],Â£56.13,In stock,One,Childrens,In stock (16 available),https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,['Jo Ellen Bogart'],Â£58.08,In stock,Four,Childrens,In stock (15 available),https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html
Little Red,['Jack Zipes'],Â£13.47,In stock,Three,Childrens,In stock (15 available),https://books.toscrape.com/catalogue/little-red_817/index.html
Walt Disney's Alice in Wonderland,['Jon Scieszka'],Â£12.96,In stock,Five,Childrens,In stock (14 available),https://books.toscrape.com/catalogue/walt-disneys-alice-in-wonderland_777/index.html
Twenty Yawns,['Jane Smiley'],Â£22.08,In stock,Two,Childrens,In stock (14 available),https://books.toscrape.com/catalogue/twenty-yawns_773/index.html
Rain Fish,['Lois Ehlert'],Â£23.57,In stock,Three,Childrens,In stock (14 available),https://books.toscrape.com/catalogue/rain-fish_728/index.html
Once Was a Time,['Leila Sales'],Â£18.28,In stock,Two,Childrens,In stock (14 available),https://books.toscrape.com/catalogue/once-was-a-time_724/index.html
Luis Paints the World,['Terry Farish'],Â£53.95,In stock,Three,Childrens,In stock (14 available),https://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html
Nap-a-Roo,['Kristy Kurjan'],Â£25.08,In stock,One,Childrens,In stock (9 available),https://books.toscrape.com/catalogue/nap-a-roo_567/index.html
The Whale,['Mohammad Awad'],Â£35.96,In stock,Four,Childrens,In stock (7 available),https://books.toscrape.com/catalogue/the-whale_501/index.html
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",['Scott Nash'],Â£52.87,In stock,Three,Childrens,In stock (7 available),https://books.toscrape.com/catalogue/shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html
Raymie Nightingale,['Kate DiCamillo'],Â£34.41,In stock,Two,Childrens,In stock (7 available),https://books.toscrape.com/catalogue/raymie-nightingale_482/index.html
Playing from the Heart,['Anne Mateer'],Â£32.38,In stock,One,Childrens,In stock (7 available),https://books.toscrape.com/catalogue/playing-from-the-heart_481/index.html
Maybe Something Beautiful: How Art Transformed a Neighborhood,"['F. Isabel Campoy', 'Theresa Howell']",Â£22.54,In stock,One,Childrens,In stock (5 available),https://books.toscrape.com/catalogue/maybe-something-beautiful-how-art-transformed-a-neighborhood_386/index.html
The Wild Robot,['Peter Brown'],Â£56.07,In stock,Three,Childrens,In stock (3 available),https://books.toscrape.com/catalogue/the-wild-robot_288/index.html
The Thing About Jellyfish,['Ali Benjamin'],Â£48.77,In stock,One,Childrens,In stock (3 available),https://books.toscrape.com/catalogue/the-thing-about-jellyfish_283/index.html
The Lonely Ones,['Manly Palmer Hall'],Â£43.59,In stock,Five,Childrens,In stock (3 available),https://books.toscrape.com/catalogue/the-lonely-ones_261/index.html
The Day the Crayons Came Home (Crayons),['Drew Daywalt'],Â£26.33,In stock,Five,Childrens,In stock (3 available),https://books.toscrape.com/catalogue/the-day-the-crayons-came-home-crayons_241/index.html
The Cat in the Hat (Beginner Books B-1),['Richard H.F. Lindemann'],Â£16.26,In stock,Two,Childrens,In stock (3 available),https://books.toscrape.com/catalogue/the-cat-in-the-hat-beginner-books-b-1_235/index.html
Red: The True Story of Red Riding Hood,[],Â£28.54,In stock,Three,Childrens,In stock (3 available),https://books.toscrape.com/catalogue/red-the-true-story-of-red-riding-hood_210/index.html
Horrible Bear!,['A. A. Bort'],Â£37.52,In stock,Two,Childrens,In stock (3 available),https://books.toscrape.com/catalogue/horrible-bear_168/index.html
Green Eggs and Ham (Beginner Books B-16),['Dr. Seuss'],Â£10.79,In stock,Four,Childrens,In stock (3 available),https://books.toscrape.com/catalogue/green-eggs-and-ham-beginner-books-b-16_165/index.html
Counting Thyme,['Melanie Conklin'],Â£10.62,In stock,One,Childrens,In stock (3 available),https://books.toscrape.com/catalogue/counting-thyme_142/index.html
Are We There Yet?,['Martin L. Davis'],Â£10.66,In stock,Three,Childrens,In stock (3 available),https://books.toscrape.com/catalogue/are-we-there-yet_122/index.html
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),['Herobrine Publishing'],Â£52.88,In stock,Four,Childrens,In stock (2 available),https://books.toscrape.com/catalogue/diary-of-a-minecraft-zombie-book-1-a-scare-of-a-dare-an-unofficial-minecraft-book_99/index.html
Matilda,['Roald Dahl'],Â£28.34,In stock,One,Childrens,In stock (1 available),https://books.toscrape.com/catalogue/matilda_32/index.html
Charlie and the Chocolate Factory (Charlie Bucket #1),['Roald Dahl'],Â£22.85,In stock,Three,Childrens,In stock (1 available),https://books.toscrape.com/catalogue/charlie-and-the-chocolate-factory-charlie-bucket-1_13/index.html
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",['Brad Warner'],Â£37.97,In stock,Two,Religion,In stock (16 available),https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
You Are What You Love: The Spiritual Power of Habit,['James K. A. Smith'],Â£21.87,In stock,Four,Religion,In stock (15 available),https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
God: The Most Unpleasant Character in All Fiction,['Dan Barker'],Â£30.03,In stock,Five,Religion,In stock (14 available),https://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html
The Book of Mormon,"['Joseph Smith, Jr.']",Â£24.57,In stock,Three,Religion,In stock (9 available),https://books.toscrape.com/catalogue/the-book-of-mormon_571/index.html
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",['Heather J. Sharkey'],Â£27.62,In stock,One,Religion,In stock (4 available),https://books.toscrape.com/catalogue/a-history-of-god-the-4000-year-quest-of-judaism-christianity-and-islam_310/index.html
The Bhagavad Gita,['Hari Chetan'],Â£57.49,In stock,Three,Religion,In stock (1 available),https://books.toscrape.com/catalogue/the-bhagavad-gita_60/index.html
Choosing Our Religion: The Spiritual Lives of America's Nones,['Elizabeth Drescher'],Â£28.42,In stock,Four,Religion,In stock (1 available),https://books.toscrape.com/catalogue/choosing-our-religion-the-spiritual-lives-of-americas-nones_14/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,['Andrew Dickson'],Â£40.30,In stock,Five,Nonfiction,In stock (18 available),https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,['Gary D. Chapman'],Â£31.05,In stock,Three,Nonfiction,In stock (18 available),https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
Reasons to Stay Alive,['Matt Haig'],Â£26.41,In stock,Two,Nonfiction,In stock (17 available),https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,"['Bill Gardner', 'Johnny Long', 'Justin Brown']",Â£23.11,In stock,Five,Nonfiction,In stock (17 available),https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",['Nathanael Johnson'],Â£44.18,In stock,Four,Nonfiction,In stock (16 available),https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,['Douglas Rushkoff'],Â£31.12,In stock,Three,Nonfiction,In stock (16 available),https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,['Marie Kondo'],Â£16.77,In stock,Three,Nonfiction,In stock (16 available),https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,['Caroline Paul'],Â£37.13,In stock,One,Nonfiction,In stock (16 available),https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,['James Edward Deeds'],Â£56.06,In stock,One,Nonfiction,In stock (16 available),https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,['Marie Kondo'],Â£41.83,In stock,Four,Nonfiction,In stock (16 available),https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,"['Katherine S. Newman', 'Hella Winston']",Â£19.83,In stock,Two,Nonfiction,In stock (16 available),https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
In the Country We Love: My Family Divided,"['Diane Guerrero', 'Michelle Burford']",Â£22.00,In stock,Four,Nonfiction,In stock (16 available),https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,['John H. Johnson'],Â£54.35,In stock,Two,Nonfiction,In stock (16 available),https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,['Mary J. MacLeod'],Â£29.14,In stock,Five,Nonfiction,In stock (16 available),https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
Algorithms to Live By: The Computer Science of Human Decisions,"['Brian Christian', 'Tom Griffiths']",Â£30.81,In stock,One,Nonfiction,In stock (16 available),https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
The Power of Now: A Guide to Spiritual Enlightenment,['Eckhart Tolle'],Â£43.54,In stock,Two,Nonfiction,In stock (15 available),https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html
The Omnivore's Dilemma: A Natural History of Four Meals,['Michael Pollan'],Â£38.21,In stock,Two,Nonfiction,In stock (15 available),https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html
The Genius of Birds,['Jennifer Ackerman'],Â£17.24,In stock,One,Nonfiction,In stock (15 available),https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html
The Artist's Way: A Spiritual Path to Higher Creativity,['Julia Cameron'],Â£38.49,In stock,Five,Nonfiction,In stock (15 available),https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html
So You've Been Publicly Shamed,['Jon Ronson'],Â£12.23,In stock,Two,Nonfiction,In stock (15 available),https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",['Brené Brown'],Â£19.43,In stock,Three,Nonfiction,In stock (15 available),https://books.toscrape.com/catalogue/daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799/index.html
Big Magic: Creative Living Beyond Fear,['Elizabeth Gilbert'],Â£30.80,In stock,Three,Nonfiction,In stock (15 available),https://books.toscrape.com/catalogue/big-magic-creative-living-beyond-fear_796/index.html
Becoming Wise: An Inquiry into the Mystery and Art of Living,['Krista Tippett'],Â£27.43,In stock,Two,Nonfiction,In stock (15 available),https://books.toscrape.com/catalogue/becoming-wise-an-inquiry-into-the-mystery-and-art-of-living_795/index.html
Agnostic: A Spirited Manifesto,['Lesley Hazleton'],Â£12.51,In stock,Five,Nonfiction,In stock (15 available),https://books.toscrape.com/catalogue/agnostic-a-spirited-manifesto_786/index.html
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,['Regina Pacelli'],Â£38.20,In stock,Four,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/whole-lotta-creativity-going-on-60-fun-and-unusual-exercises-to-awaken-and-strengthen-your-creativity_780/index.html
What's It Like in Space?: Stories from Astronauts Who've Been There,['Ariel Waldman'],Â£19.60,In stock,Two,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/whats-it-like-in-space-stories-from-astronauts-whove-been-there_779/index.html
The Year of Magical Thinking,['Joan Didion'],Â£43.04,In stock,Two,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/the-year-of-magical-thinking_770/index.html
The Literature Book (Big Ideas Simply Explained),"['James Canton', 'Sam Atkinson']",Â£17.43,In stock,Three,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/the-literature-book-big-ideas-simply-explained_755/index.html
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,['Harrison Akins'],Â£15.77,In stock,One,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/the-bad-ass-librarians-of-timbuktu-and-their-race-to-save-the-worlds-most-precious-manuscripts_745/index.html
Swell: A Year of Waves,[],Â£45.58,In stock,One,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/swell-a-year-of-waves_740/index.html
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,"['Buzz Aldrin', 'Ken Abraham']",Â£21.95,In stock,Two,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/no-dream-is-too-high-life-lessons-from-a-man-who-walked-on-the-moon_722/index.html
Looking for Lovely: Collecting the Moments that Matter,['Annie F. Downs'],Â£29.14,In stock,Five,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/looking-for-lovely-collecting-the-moments-that-matter_710/index.html
Let It Out: A Journey Through Journaling,['Katie Dalebout'],Â£26.79,In stock,Five,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/let-it-out-a-journey-through-journaling_708/index.html
Hamilton: The Revolution,"['Lin-Manuel Miranda', 'Jeremy McCarter']",Â£58.79,In stock,Three,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/hamilton-the-revolution_699/index.html
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years","['B. V. Babu', 'Atulya Nagar', 'Kusum Deep', 'Millie Pant', 'Jagdish Chand Bansal', 'Kanad Ray', 'Umesh Gupta']",Â£15.06,In stock,Four,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",['Jason Wrobel'],Â£51.75,In stock,Five,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/eaternity-more-than-150-deliciously-easy-vegan-recipes-for-a-long-healthy-satisfied-joyful-life_689/index.html
Buying In: The Secret Dialogue Between What We Buy and Who We Are,['Rob Walker'],Â£37.80,In stock,Four,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/buying-in-the-secret-dialogue-between-what-we-buy-and-who-we-are_670/index.html
Brain on Fire: My Month of Madness,['Susannah Cahalan'],Â£49.32,In stock,Five,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/brain-on-fire-my-month-of-madness_669/index.html
Abstract City,['Christoph Niemann'],Â£56.37,In stock,Five,Nonfiction,In stock (14 available),https://books.toscrape.com/catalogue/abstract-city_658/index.html
13 Hours: The Inside Account of What Really Happened In Benghazi,['J.J. Holt'],Â£27.06,In stock,One,Nonfiction,In stock (13 available),https://books.toscrape.com/catalogue/13-hours-the-inside-account-of-what-really-happened-in-benghazi_645/index.html
The Lonely City: Adventures in the Art of Being Alone,['Olivia Laing'],Â£33.26,In stock,Two,Nonfiction,In stock (12 available),https://books.toscrape.com/catalogue/the-lonely-city-adventures-in-the-art-of-being-alone_639/index.html
The Diary of a Young Girl,['Anne Frank'],Â£59.90,In stock,Three,Nonfiction,In stock (12 available),https://books.toscrape.com/catalogue/the-diary-of-a-young-girl_634/index.html
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,['Bruce Porter'],Â£21.21,In stock,Three,Nonfiction,In stock (12 available),https://books.toscrape.com/catalogue/snatched-how-a-drug-queen-went-undercover-for-the-dea-and-was-kidnapped-by-colombian-guerillas_631/index.html
Furiously Happy: A Funny Book About Horrible Things,['Jenny Lawson'],Â£41.46,In stock,Four,Nonfiction,In stock (12 available),https://books.toscrape.com/catalogue/furiously-happy-a-funny-book-about-horrible-things_619/index.html
"The Sleep Revolution: Transforming Your Life, One Night at a Time",['Arianna Huffington'],Â£11.68,In stock,Four,Nonfiction,In stock (11 available),https://books.toscrape.com/catalogue/the-sleep-revolution-transforming-your-life-one-night-at-a-time_608/index.html
"Mother, Can You Not?",['Kate Siegel'],Â£16.89,In stock,Five,Nonfiction,In stock (11 available),https://books.toscrape.com/catalogue/mother-can-you-not_599/index.html
A Mother's Reckoning: Living in the Aftermath of Tragedy,['Sue Klebold'],Â£19.53,In stock,Three,Nonfiction,In stock (11 available),https://books.toscrape.com/catalogue/a-mothers-reckoning-living-in-the-aftermath-of-tragedy_585/index.html
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",['Dan Harris'],Â£24.57,In stock,Two,Nonfiction,In stock (10 available),https://books.toscrape.com/catalogue/10-happier-how-i-tamed-the-voice-in-my-head-reduced-stress-without-losing-my-edge-and-found-self-help-that-actually-works_582/index.html
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,['Andrew Leatherbarrow'],Â£35.92,In stock,Two,Nonfiction,In stock (9 available),https://books.toscrape.com/catalogue/chernobyl-012340-the-incredible-true-story-of-the-worlds-worst-nuclear-disaster_560/index.html
"Zero to One: Notes on Startups, or How to Build the Future",['Trivion Books'],Â£34.06,In stock,Three,Nonfiction,In stock (8 available),https://books.toscrape.com/catalogue/zero-to-one-notes-on-startups-or-how-to-build-the-future_555/index.html
Why Not Me?,"[""Li'Shey Johnson""]",Â£17.76,In stock,One,Nonfiction,In stock (8 available),https://books.toscrape.com/catalogue/why-not-me_554/index.html
When Breath Becomes Air,['Paul Kalanithi'],Â£39.36,In stock,Two,Nonfiction,In stock (8 available),https://books.toscrape.com/catalogue/when-breath-becomes-air_553/index.html
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",['Skip Hollandsworth'],Â£28.45,In stock,Four,Nonfiction,In stock (8 available),https://books.toscrape.com/catalogue/the-midnight-assassin-panic-scandal-and-the-hunt-for-americas-first-serial-killer_549/index.html
Smarter Faster Better: The Secrets of Being Productive in Life and Business,['Charles Duhigg'],Â£38.89,In stock,Five,Nonfiction,In stock (8 available),https://books.toscrape.com/catalogue/smarter-faster-better-the-secrets-of-being-productive-in-life-and-business_543/index.html
Rising Strong,['Summary Station'],Â£21.82,In stock,Three,Nonfiction,In stock (8 available),https://books.toscrape.com/catalogue/rising-strong_539/index.html
Man's Search for Meaning,['Viktor E. Frankl'],Â£29.48,In stock,Three,Nonfiction,In stock (8 available),https://books.toscrape.com/catalogue/mans-search-for-meaning_533/index.html
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",['Ron Fournier'],Â£25.06,In stock,Two,Nonfiction,In stock (8 available),https://books.toscrape.com/catalogue/love-that-boy-what-two-presidents-eight-road-trips-and-my-son-taught-me-about-a-parents-expectations_532/index.html
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,['Leopard Books'],Â£12.55,In stock,Three,Nonfiction,In stock (8 available),https://books.toscrape.com/catalogue/living-forward-a-proven-plan-to-stop-drifting-and-get-the-life-you-want_531/index.html
I Will Find You,['Sarah Lyu'],Â£44.21,In stock,One,Nonfiction,In stock (8 available),https://books.toscrape.com/catalogue/i-will-find-you_524/index.html
Brazen: The Courage to Find the You That's Been Hiding,['Leeana Tankersley'],Â£19.22,In stock,Two,Nonfiction,In stock (8 available),https://books.toscrape.com/catalogue/brazen-the-courage-to-find-the-you-thats-been-hiding_514/index.html
